  28/04/1892,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  28/04/1892,   39 45 N,  124 25 W,37.8,-122.4,at sea on passage from san francisco to seattle,            san francisco,north pacific,,
  29/04/1892,,,,,,,,,
  29/04/1892,   43 11 N,  125 02 W,37.8,-122.4,at sea on passage from san francisco to seattle,            san francisco,north pacific,,
  30/04/1892,,,,,,,,,
  30/04/1892,,,,,,,,,
  30/04/1892,,,,,,,,,
  30/04/1892,   46 47 N,  125 09 W,37.8,-122.4,at sea on passage from san francisco to seattle,            san francisco,north pacific,,
  01/05/1892,,,,,,,,,
  01/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  02/05/1892,,,,,,,,,
  02/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  03/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  03/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  04/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  04/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  05/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  05/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  07/05/1892,,,,,,,,,
  07/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/05/1892,,,47.6,-122.3,             seattle wash,                  seattle,,,
  08/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/05/1892,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/05/1892,,,,,,,,,
  10/05/1892,,,48.1,-122.8, port townsend washington,            port townsend,,,
  11/05/1892,,,48.1,-122.8, port townsend washington,            port townsend,,,
  11/05/1892,,,48.1,-122.8, port townsend washington,            port townsend,,,
  12/05/1892,,,48.1,-122.8, port townsend washington,            port townsend,,,
  12/05/1892,,,48.1,-122.8, port townsend washington,            port townsend,,,
  13/05/1892,,,48.1,-122.8, port townsend washington,            port townsend,,,
  13/05/1892,   48 47 N,  126 21 W,,,,,,,
  14/05/1892,,,22.6,59.5,   strait of juan de fuca,                      sur,strait of juan de fuca,48 12 00N,123 34 22W
  14/05/1892,   49 45 N,  131 47 W,48.1,-122.8,at sea on passage from port townsend wash to unalaska alaska,            port townsend,north pacific,,
  15/05/1892,,,,,,,,,
  15/05/1892,   50 28 N,  137 06 W,,,,,north pacific,,
  16/05/1892,,,,,,,,,
  16/05/1892,   51 35 N,  140 50 W,,,,,north pacific,,
  17/05/1892,,,,,,,,,
  17/05/1892,   52 12 N,  145 27 W,,,,,north pacific,,
  18/05/1892,,,,,,,,,
  18/05/1892,   52 48 N,  151 53 W,,,,,north pacific,,
  19/05/1892,,,,,,,,,
  19/05/1892,   53 11 N,  157 40 W,,,,,north pacific,,
  20/05/1892,,,,,,,,,
  20/05/1892,   53 42 N,  162 50 W,,,,,north pacific,,
  21/05/1892,,,,,,,,,
  21/05/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  22/05/1892,,,,,,,,,
  22/05/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  23/05/1892,,,,,,,,,
  23/05/1892,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  24/05/1892,,,,,,,,,
  24/05/1892,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  25/05/1892,,,,,,,,,
  25/05/1892,   54 28 N,  167 02 W,,,,,,,
  26/05/1892,,,,,,,,,
  26/05/1892,   56 12 N,  169 16 W,55,166.3,        at sea bering sea,                  behring,,,
  27/05/1892,,,56.6,-169.6,villiage st george island,         st george island,,,
  27/05/1892,,,38.5,-28.6,   at anchor se anchorage,                    horta,st george island,56 35 00N,169 35 00W
  28/05/1892,,,,,,,,,
  28/05/1892,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  29/05/1892,,,,,,,,,
  29/05/1892,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  30/05/1892,,,,,,,,,
  30/05/1892,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  31/05/1892,,,,,,,,,
  31/05/1892,,,,,,,,,
  31/05/1892,,,,,,,,,
  31/05/1892,,,57.1,-170.3,se anchorage st paul island,           st paul island,,,
  01/06/1892,,,,,,,,,
  01/06/1892,   57 10 N,  170 30 W,38.5,-28.6,             se anchorage,                    horta,st paul island,57 11N,170 16W
  02/06/1892,,,,,,,,,
  02/06/1892,   60 18 N,  171 58 W,,,                   at sea,,,,
  03/06/1892,,,60.4,-172.7,        st matthew island,        st matthew island,,,
  03/06/1892,   60 38 N,  172 40 W,64.6,-172.6,    at anchor hall island,             small island,hall island,60 39 50N,173 05 46W
  04/06/1892,,,60.4,-172.7,north side st matthew island,        st matthew island,,,
  04/06/1892,   60 50 N,  176 07 W,,,                176 07 00,,,,
  05/06/1892,,,,,,,,,
  05/06/1892,   62 14 N,  178 25 E,,,                   at sea,,,,
  06/06/1892,,,31.5,118.4,        mt gudana siberia,                    erjia,bering sea,,
  06/06/1892,   62 16 N,  178 25 E,62.3,179.1,at anchor off mt gudana siberia,             cape navarin,bering sea,,
  07/06/1892,,,,,,,,,
  07/06/1892,   62 46 N,  177 35 W,55,166.3,        at sea bering sea,                  behring,,,
  08/06/1892,,,,,,,,,
  08/06/1892,   63 23 N,  172 55 W,55,166.3,        at sea bering sea,                  behring,,,
  09/06/1892,,,,,,,,,
  09/06/1892,   63 48 N,  171 34 W,43.7,-5.3,at anchor off cape chibukak st lawrence isld,                      gib,st lawrence island,63 24N,170 10W
  10/06/1892,,,,,,,,,
  10/06/1892,   63 50 N,  171 35 W,55,166.3,        at sea bering sea,                  behring,,,
  11/06/1892,,,,,,,,,
  11/06/1892,   64 21 N,  170 14 W,55,166.3,        at sea bering sea,                  behring,,,
  12/06/1892,,,,,,,,,
  12/06/1892,   64 01 N,  171 05 W,55,166.3,        at sea bering sea,                  behring,,,
  13/06/1892,,,,,,,,,
  13/06/1892,   63 52 N,  168 10 W,55,166.3,        at sea bering sea,                  behring,,,
  14/06/1892,,,65,-168.1,             kings island,            king's island,,,
  14/06/1892,   65 03 N,  167 55 W,65,-168.1,       king island alaska,            king's island,,,
  15/06/1892,,,,,,,,,
  15/06/1892,   64 55 N,  167 45 W,55,166.3,        at sea bering sea,                  behring,,,
  16/06/1892,,,,,,,,,
  16/06/1892,   64 19 N,  163 15 W,,,,,,,
  17/06/1894,,,,,,,,,
  17/06/1894,   63 44 N,  162 09 W,,,,,,,
  18/06/1892,,,,,,,,,
  18/06/1892,   63 30 N,  161 40 W,,,,,,,
  19/06/1892,,,,,,,,,
  19/06/1892,   63 30 N,  161 40 W,,,,,,,
  20/06/1892,,,63.5,-162,       st michaels alaska,               st michael,,,
  20/06/1892,   64 09 N,  162 38 W,,,,,,,
  21/06/1892,,,63.5,-162,       st michaels alaska,               st michael,,,
  21/06/1892,   64 23 N,  162 46 W,,,,,,,
  22/06/1892,,,22.4,114.2,              golovin bay,                     tolo,golovnin bay,64.41556N,162.95917W
  22/06/1892,   63 30 N,  161 40 W,,,,,,,
  23/06/1892,,,63.5,-162,       st michaels alaska,               st michael,,,
  23/06/1892,   64 27 N,  165 53 W,,,,,,,
  24/06/1892,,,,,             norton sound,,,,
  24/06/1892,   65 16 N,  164 42 W,,,,,,,
  25/06/1892,,,,,,,,,
  25/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  26/06/1892,,,,,,,,,
  26/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  27/06/1892,,,,,,,,,
  27/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  28/06/1892,,,,,,,,,
  28/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  29/06/1892,,,,,,,,,
  29/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  30/06/1892,,,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  30/06/1892,,,,,,,,,
  30/06/1892,,,,,,,,,
  30/06/1892,   65 22 N,  167 30 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  01/07/1892,,,,,,,,,
  01/07/1892,   65 25 N,  171 10 W,,,,,,,
  02/07/1892,,,15.5,73.9,      off cape knbougonne,                      goa,st lawrence bay chukotka,65.6667N,171.0833W
  02/07/1892,   65 19 N,  168 26 W,,,,,,,
  03/07/1892,,,15.5,73.9,     off cape krleougonne,                      goa,st lawrence bay chukotka,,
  03/07/1892,   65 19 N,  166 30 W,,,off reindeer station port clarence,,,,
  04/07/1892,,,,,off reindeer station port clarence,,,,
  04/07/1892,   65 19 N,  166 30 W,65.2,-166.7,            port clarence,           port clearance,,,
  05/07/1892,,,,,reindeer station port clarence,,,,
  05/07/1892,   66 12 N,  169 45 W,,,,,,,
  06/07/1892,,,55,166.3,        at sea bering sea,                  behring,,,
  06/07/1892,   66 12 N,  169 55 W,31.5,118.4,at anchor off eruchuau siberia,                    erjia,inchoun,66 18N,170 17W
  07/07/1892,,,31.5,118.4,         enchouan siberia,                    erjia,inchoun,,
  07/07/1892,   65 25 N,  168 04 W,,,,,,,
  08/07/1892,,,55,166.3,        at sea bering sea,                  behring,,,
  08/07/1892,   65 19 N,  166 40 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  09/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  09/07/1892,   65 19 N,  166 30 W,,,off reindeer station port clarence,,,,
  10/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  10/07/1892,   65 16 N,  166 44 W,,,off pt spenser port clarence,,,,
  11/07/1892,,,,,off reindeer station port clarence alaska,,,,
  11/07/1892,   65 16 N,  166 46 W,65.2,-166.7,            port clarence,           port clearance,,,
  12/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  12/07/1892,   65 16 N,  166 44 W,65.2,-166.7,            port clarence,           port clearance,,,
  13/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  13/07/1892,   65 50 N,  168 40 W,,,,,,,
  14/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  14/07/1892,      67 N,     172 W,66.9,-171.6,         cape serdzekamen,                      tic,cape serdtse kamen,66 54 30N,171 37 50W
  15/07/1892,,,31.5,118.4, off the coast of siberia,                    erjia,cape serdtse kamen,,
  15/07/1892,      67 N,     172 W,66.9,-171.6,west of cape serdzekamen siberia,         cape serdzekamen,,,
  16/07/1892,,,66.9,-171.6,off cape serdzekamen siberia,         cape serdzekamen,,,
  16/07/1892,   67 03 N,  172 00 W,66.9,-171.6,west side of cape serdzekamen siberia,         cape serdzekamen,,,
  17/07/1892,,,66.9,-171.6,  off cape serdze siberia,                    erjia,cape serdtse kamen,,
  17/07/1892,   67 00 N,  171 40 W,,,,,,,
  18/07/1892,,,,,,,,,
  18/07/1892,      67 N,  171 40 W,43.7,7.2,                at anchor,                     nice,cape serdtse kamen,,
  19/07/1892,,,,,,,,,
  19/07/1892,   67 01 N,  171 43 W,66.9,-171.6,at sea off cape serdzekamers siberia,         cape serdzekamen,,,
  20/07/1892,,,,,,,,,
  20/07/1892,   65 50 N,  168 50 W,,,,,,,
  21/07/1892,,,,,,,,,
  21/07/1892,   66 19 N,  166 30 W,,,off reindeer station port clarence,,,,
  22/07/1892,,,,,off reindeer station port clarence alaska,,,,
  22/07/1892,   66 19 N,  166 30 W,,,                at anchor,,,,
  23/07/1892,,,,,,,,,
  23/07/1892,   66 18 N,  166 30 W,,,                at anchor,,,,
  24/07/1892,,,,,off reindeer station port clarence alaska,,,,
  24/07/1892,   65 18 N,  167 25 W,73.8,-87,                at anchor,                cape york,port clarence alaska,65 15 58N,166 51 10W
  25/07/1892,,,,,off reindeer station port clarence alaska,,,,
  25/07/1892,   65 37 N,  170 43 W,65.7,-171.1,at anchor lutka harbor st lawrence bay siberia,          st lawrence bay,,,
  26/07/1892,,,,,off cape pnangoune st lawrence bay siberia,,,,
  26/07/1892,   65 27 N,  171 15 W,31.5,118.4,                at anchor,                    erjia,st lawrence bay chukotka,,
  27/07/1892,,,65.7,-171.1,  st lawrence bay siberia,          st lawrence bay,,,
  27/07/1892,   65 27 N,  171 15 W,31.5,118.4,off cape krleougonne siberia,                    erjia,st lawrence bay chukotka,,
  28/07/1892,,,31.5,118.4,off cape krlougonne siberia,                    erjia,st lawrence bay chukotka,,
  28/07/1892,   65 21 N,  167 36 W,,,                   at sea,,,,
  29/07/1892,,,,,,,,,
  29/07/1892,   65 19 N,  166 30 W,,,off reindeer station port clarence alaska,,,,
  30/07/1892,,,,,off reindeer station port clarence alaska,,,,
  30/07/1892,   65 18 N,  166 30 W,,,                at anchor,,,,
  31/07/1892,,,,,off reindeer station port clarence alaska,,,,
  31/07/1892,,,,,,,,,
  31/07/1892,,,,,,,,,
  31/07/1892,   65 18 N,  166 30 W,,,                at anchor,,,,
  01/08/1892,,,,,off reindeer station port clarence alaska,,,,
  01/08/1892,   65 02 N,  168 10 W,,,                at anchor,,,,
  02/08/1892,,,,,off reindeer station port clarence alaska,,,,
  02/08/1892,   64 15 N,  173 16 W,55,166.3,        at sea bering sea,                  behring,,,
  03/08/1892,,,,,,,,,
  03/08/1892,   34 32 N,  173 20 W,,,                at anchor,,,,
  04/08/1892,,,,,port providence plover bay siberia,,,,
  04/08/1892,   64 35 N,  173 22 W,22.6,114.4,     vladimir bay siberia,                 mirs bay,providence bay,64 25 00N,173 24 00W
  05/08/1892,,,22.6,114.4,off cape igantief vladimir bay siberia,                 mirs bay,providence bay,,
  05/08/1892,   65 19 N,  179 05 W,,,                   at sea,,,,
  06/08/1892,,,,,,,,,
  06/08/1892,   65 30 N,  179 10 W,66,-179.2,   holy cross bay siberia,           holy cross bay,,,
  07/08/1892,,,66,-179.2,   holy cross bay siberia,           holy cross bay,,,
  07/08/1892,   65 19 N,  178 15 W,,,                at anchor,,,,
  08/08/1892,,,66,-179.2,   holy cross bay siberia,           holy cross bay,,,
  08/08/1892,   64 07 N,  172 58 W,,,,,,,
  09/08/1892,,,35.2,24.8,           gulf of acadia,                   candia,cape chaplino,64.4048N,172.227516W
  09/08/1892,   65 18 N,  167 42 W,,,reindeer station port clarence,,,,
  10/08/1892,,,55,166.3,               bering sea,                  behring,,,
  10/08/1892,   65 46 N,  168 12 W,,,,,,,
  11/08/1892,,,,,off reindeer station port clarence alaska,,,,
  11/08/1892,   66 46 N,  162 30 W,66.5,-162.8,off cape blossom kotzebue sound alaska,           kotzebue sound,,,
  12/08/1892,,,56.2,-3,off north coast of alaska,                    forth,kotzebue sound,66 32 46N,162 44 58W
  12/08/1892,   67 33 N,  164 46 W,,,,,,,
  13/08/1892,,,66.5,-162.8,    kotzuhue sound alaska,           kotzebue sound,,,
  13/08/1892,   70 02 N,  162 07 W,,,,,,,
  15/08/1892,,,,,,,,,
  15/08/1892,   68 23 N,  166 37 W,,,,,,,
  14/08/1892,,,68.3,-166.8,        point hope alaska,               point hope,,,
  14/08/1892,   71 14 N,  156 42 W,71.3,-156.8, pt barrow refuge station,           refuge station,,,
  16/08/1892,,,,,             arctic ocean,,,,
  16/08/1892,   71 17 N,  156 35 W,,,refuge station point barrow,,,,
  17/08/1892,,,71.3,-156.8,pt barrow refuge station alaska,           refuge station,,,
  17/08/1892,   71 17 N,  156 35 W,,,                at anchor,,,,
  18/08/1892,,,,,point barrow refuge station alaska,,,,
  18/08/1892,   71 17 N,  156 35 W,,,                at anchor,,,,
  19/08/1892,,,,,point barrow refuge station alaska,,,,
  19/08/1892,   71 13 N,  156 58 W,,,                at anchor,,,,
  20/08/1892,,,,,point barrow refuge station alaska,,,,
  20/08/1892,   70 48 N,  159 35 W,70.8,-159.7,                at anchor,            point belcher,,,
