  12/01/1930,        NA,        NA_2,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,58.3014485N,134.4216125W
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,,,,,,,,,
  31/05/1930,     58 41,    148 42,,,,,,,
  01/06/1930,,,,,,,,,
  01/06/1930,,,21.5,-145.8,hinchinbrook entrance alaska,                  cordova,hinchinbrook island alaska,60 22 55N,2017-12-26T01:46:00
  02/06/1930,,,,,,,,,
  02/06/1930,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  03/06/1930,,,,,,,,,
  03/06/1930,   60 35 N,  146 30 W,60.5,-145.8,           cordova alaska,                  cordova,hinchinbrook island alaska,,
  04/06/1930,,,,,,,,,
  04/06/1930,,,60.1,-149.4,            seward alaska,                   seward,,,
  05/06/1930,,,,,,,,,
  05/06/1930,   59 27 N,  149 43 W,60.1,-149.4,            seward alaska,                   seward,,,
  06/06/1930,,,,,,,,,
  06/06/1930,   57 18 N,  155 16 W,,,,,,,
  07/06/1930,,,,,,,,,
  07/06/1930,   54 59 N,  160 34 W,,,,,,,
  08/06/1930,,,,,,,,,
  08/06/1930,   54 20 N,  158 30 W,,,                 unalaska,,,,
  09/06/1930,,,,,,,,,
  09/06/1930,,,,,                 unalaska,,,,
  10/06/1930,,,,,,,,,
  10/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  11/06/1930,,,,,,,,,
  11/06/1930,,,53.9,-166.5,          unalaska alaska,               akutan bay,,,
  12/06/1930,,,,,,,,,
  12/06/1930,,,54.2,-165.7,akutan bay akutan is alaska,               akutan bay,,,
  13/06/1930,,,,,,,,,
  13/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  14/06/1930,,,,,,,,,
  14/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/06/1930,,,,,,,,,
  15/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/06/1930,,,,,,,,,
  16/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/06/1930,,,,,,,,,
  17/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/06/1930,,,,,,,,,
  18/06/1930,   54 36 N,  165 20 W,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/06/1930,,,,,,,,,
  19/06/1930,   55 56 N,  162 05 W,,,,,,,
  20/06/1930,,,,,,,,,
  20/06/1930,,,,,,,,,
  20/06/1930,,,,,,,,,
  20/06/1930,   57 54 N,  159 43 W,,,,,,,
  21/06/1930,,,,,,,,,
  21/06/1930,,,,,,,,,
  21/06/1930,,,,,,,,,
  21/06/1930,   55 36 N,  164 49 W,,,,,,,
  22/06/1930,,,,,,,,,
  22/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  23/06/1930,,,,,,,,,
  23/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  24/06/1930,,,,,,,,,
  24/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  25/06/1930,,,,,,,,,
  25/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  26/06/1930,,,,,,,,,
  26/06/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  27/06/1930,,,,,,,,,
  27/06/1930,   53 52 N,  167 37 W,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  28/06/1930,,,,,,,,,
  28/06/1930,   53 26 N,  168 29 W,,,         nikolskli alaska,,,,
  29/06/1930,,,,,,,,,
  29/06/1930,,,55,-166.3,        chernofski alaska,               chernofski,unalaska island,53 40 24N,2018-07-17T00:00:00
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,,,,,,,
  30/06/1930,,,53.4,-167.2,        chernofski alaska,               chernofski,,,
  01/07/1930,,,,,,,,,
  01/07/1930,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  02/07/1930,,,,,,,,,
  02/07/1930,   54 00 N,  166 10 W,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  03/07/1930,,,,,,,,,
  03/07/1930,   55 15 N,  160 13 W,,,,,,,
  04/07/1930,,,,,,,,,
  04/07/1930,   57 32 N,  154 49 W,,,,,,,
  05/07/1930,,,,,,,,,
  05/07/1930,   57 56 N,  148 13 W,,,,,,,
  06/07/1930,,,,,,,,,
  06/07/1930,   57 46 N,  140 42 W,,,,,,,
  07/07/1930,,,,,,,,,
  07/07/1930,,,-22.3,166.4,        lynn canal alaska,                    nunea,lynn canal,58 41 31N,2018-06-26T01:35:00
  08/07/1930,,,,,,,,,
  08/07/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/07/1930,,,,,,,,,
  09/07/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/07/1930,,,,,,,,,
  10/07/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/07/1930,,,,,,,,,
  11/07/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/07/1930,,,,,,,,,
  12/07/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/07/1930,,,,,,,,,
  13/07/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/07/1930,,,,,,,,,
  14/07/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/07/1930,,,,,,,,,
  15/07/1930,   55 13 N,  134 35 W,,,,,,,
  16/07/1930,,,,,,,,,
  16/07/1930,   51 54 N,  131 35 W,,,,,,,
  17/07/1930,,,,,,,,,
  17/07/1930,   49 12 N,  126 51 W,,,,,,,
  18/07/1930,,,,,,,,,
  18/07/1930,,,47.6,-122.3,in straits of juan de fuca,                      sur,strait of juan de fuca,48 12 00N,2017-12-05T01:23:00
  19/07/1930,,,,,,,,,
  19/07/1930,,,,,,,,,
  19/07/1930,,,,,,,,,
  19/07/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  20/07/1930,,,,,,,,,
  20/07/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  21/07/1930,,,,,,,,,
  21/07/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  22/07/1930,,,,,,,,,
  22/07/1930,,,,,,,,,
  22/07/1930,,,,,,,,,
  22/07/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  23/07/1930,,,,,,,,,
  23/07/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  24/07/1930,,,,,,,,,
  24/07/1930,,,47.6,-122.3,       seattle washington,                  seattle,,,
  25/07/1930,,,,,,,,,
  25/07/1930,,,47.6,-122.3,       seattle washington,                   port t,seattle,47 36 35N,2018-08-21T01:22:00
  26/07/1930,,,,,,,,,
  26/07/1930,,,,,,,,,
  26/07/1930,,,,,,,,,
  26/07/1930,   46 44 N,  124 29 W,46.2,-123.8,           astoria oregon,                  astoria,,,
  27/07/1930,,,,,,,,,
  27/07/1930,   45 45 N,  124 15 W,46.2,-123.8,           astoria oregon,                  astoria,,,
  28/07/1930,,,,,,,,,
  28/07/1930,   42 41 N,  124 53 W,,,,,,,
  29/07/1930,,,,,,,,,
  29/07/1930,   38 20 N,  123 25 W,37.8,-122.3,              oakland cal,                  oakland,,,
  30/07/1930,,,,,,,,,
  30/07/1930,,,37.8,-122.3,       oakland california,                  oakland,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,,,,,,,
  31/07/1930,,,37.8,-122.3,       oakland california,                  oakland,,,
  01/08/1930,,,,,,,,,
  01/08/1930,,,37.8,-122.3,       oakland california,                  oakland,,,
  02/08/1930,,,,,,,,,
  02/08/1930,,,37.8,-122.3,       oakland california,                  oakland,,,
  03/08/1930,,,,,,,,,
  03/08/1930,   37 18 N,  122 40 W,,,,,,,
  04/08/1930,,,,,,,,,
  04/08/1930,     34 12,    119 38,12.5,122.3,         san pedro harbor,            san pedro bay,san pedro bay california,33 44 00N,2017-07-25T01:18:00
  05/08/1930,,,,,,,,,
  05/08/1930,,,33.7,-118.3,     san pedro california,          san pedro calif,,,
  06/08/1930,,,,,,,,,
  06/08/1930,,,32.7,-117.2,     san diego california,            san diego usa,,,
  07/08/1930,,,,,,,,,
  07/08/1930,,,32.7,-117.2,      la playa california,                     bali,la playa san diego,32 42 44N,2018-05-01T01:17:00
  08/08/1930,,,,,,,,,
  08/08/1930,,,-8.7,115.2,      la playa california,                     bali,la playa san diego,,
  09/08/1930,,,,,,,,,
  09/08/1930,,,-8.7,115.2,      la playa california,                     bali,la playa san diego,,
  10/08/1930,,,,,,,,,
  10/08/1930,   32 05 N,  117 05 W,-8.7,115.2,      la playa california,                     bali,la playa san diego,,
  11/09/1930,,,,,,,,,
  11/09/1930,   29 30 N,  116 22 W,,,,,,,
  12/08/1930,,,,,,,,,
  12/08/1930,   26 13 N,  114 40 W,,,,,,,
  13/08/1930,,,,,,,,,
  13/08/1930,   23 36 N,  111 24 W,,,,,,,
  14/08/1930,,,,,,,,,
  14/08/1930,   21 07 N,  108 14 W,,,,,,,
  15/08/1930,,,,,,,,,
  15/08/1930,     18 36,    105 15,,,,,,,
  16/08/1930,,,,,,,,,
  16/08/1930,   16 55 N,  101 42 W,,,,,,,
  17/08/1930,,,,,,,,,
  17/08/1930,     15 26,     98 58,,,,,,,
  18/08/1930,,,,,,,,,
  18/08/1930,   13 47 N,   95 22 W,,,,,,,
  19/08/1930,,,,,,,,,
  19/08/1930,     11 53,     91 37,,,,,,,
  20/08/1930,,,,,,,,,
  20/08/1930,   10 16 N,   88 31 W,,,,,,,
  21/08/1930,,,,,,,,,
  21/08/1930,   08 23 N,   84 43 W,,,,,,,
  22/08/1930,,,,,,,,,
  22/08/1930,   06 43 N,   81 18 W,,,,,,,
  23/08/1930,,,,,,,,,
  23/08/1930,,,9,-79.5,                balboa cz,                   panama,balboa panama,8 57N,2018-02-27T00:00:00
  24/08/1930,,,,,,,,,
  24/08/1930,,,8.9,-79.6,                balboa cz,                   balboa,,,
  25/08/1930,,,,,,,,,
  25/08/1930,,,8.9,-79.6,                balboa cz,                   balboa,,,
  26/08/1930,,,,,,,,,
  26/08/1930,,,8.9,-79.6,                balboa cz,                   balboa,,,
  27/08/1930,,,,,,,,,
  27/08/1930,   09 49 N,   79 43 W,9.3,-79.6,                balboa cz,             panama canal,,,
  28/08/1930,,,,,,,,,
  28/08/1930,   11 53 N,   78 35 W,,,,,,,
  29/08/1930,,,,,,,,,
  29/08/1930,   15 07 N,   77 05 W,,,,,,,
  30/08/1930,,,,,,,,,
  30/08/1930,   18 30 N,   74 44 W,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,   22 35 N,   74 26 W,,,,,,,
  01/09/1930,,,,,,,,,
  01/09/1930,     26 54,     74 30,,,,,,,
  02/09/1930,,,,,,,,,
  02/09/1930,   30 53 N,   75 10 W,,,,,,,
  03/09/1930,,,,,,,,,
  03/09/1930,   35 06 N,   75 09 W,,,,,,,
  04/09/1930,,,,,,,,,
  04/09/1930,,,55,-1.5,        craighell channel,                      tic,curtis bay baltimore,39 13 35N,2017-10-24T00:00:00
  05/09/1930,,,,,,,,,
  05/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  06/09/1930,,,,,,,,,
  06/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  07/09/1930,,,,,,,,,
  07/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  08/09/1930,,,,,,,,,
  08/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  09/09/1930,,,,,,,,,
  09/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  10/09/1930,,,,,,,,,
  10/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  11/09/1930,,,,,,,,,
  11/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  12/09/1930,,,,,,,,,
  12/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  13/09/1930,,,,,,,,,
  13/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  14/09/1930,,,,,,,,,
  14/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  15/09/1930,,,,,,,,,
  15/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  16/09/1930,,,,,,,,,
  16/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  17/09/1930,,,,,,,,,
  17/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  18/09/1930,,,,,,,,,
  18/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  19/09/1930,,,,,,,,,
  19/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  20/09/1930,,,,,,,,,
  20/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  21/09/1930,,,,,,,,,
  21/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  22/09/1930,,,,,,,,,
  22/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  23/09/1930,,,,,,,,,
  23/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,39 11 57N,2018-07-24T00:00:00
  24/09/1930,,,,,,,,,
  24/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  25/09/1930,,,,,,,,,
  25/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  26/09/1930,,,,,,,,,
  26/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  27/09/1930,,,,,,,,,
  27/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  28/09/1930,,,,,,,,,
  28/09/1930,,,51.2,-1.5,      curtis bay maryland,                     deal,curtis bay baltimore,,
  29/09/1930,,,,,,,,,
  29/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  01/10/1930,,,,,,,,,
  01/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  02/10/1930,,,,,,,,,
  02/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  03/10/1930,,,,,,,,,
  03/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  04/10/1930,,,,,,,,,
  04/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/10/1930,,,,,,,,,
  05/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/10/1930,,,,,,,,,
  05/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  07/10/1930,,,,,,,,,
  07/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  08/10/1930,,,,,,,,,
  08/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  09/10/1930,,,,,,,,,
  09/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  10/10/1930,,,,,,,,,
  10/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  11/10/1930,,,,,,,,,
  11/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  12/10/1930,,,,,,,,,
  12/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  13/10/1930,,,,,,,,,
  13/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  14/10/1930,,,,,,,,,
  14/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  15/10/1930,,,,,,,,,
  15/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  16/10/1930,,,,,,,,,
  16/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  17/10/1930,,,,,,,,,
  17/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  18/10/1930,,,,,,,,,
  18/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  19/10/1930,,,,,,,,,
  19/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  20/10/1930,,,,,,,,,
